# Constructed from biom file
#OTU ID	SRR5831794	SRR5831795	SRR5831796	SRR5831797	SRR5831798	SRR5831799	SRR5831801	SRR5831802	SRR5831803	SRR5831804	SRR5831805	SRR5831807	SRR5831809	SRR5831812	SRR5831813	SRR5831814	SRR5831815	SRR5831817	SRR5831818	SRR5831819	SRR5831821	SRR5831822	SRR5831824	SRR5831825	SRR5831827	SRR5831828	SRR5831829	SRR5831830	SRR5831832	SRR5831835	SRR5831836	SRR5831837	SRR5831839	SRR5831841	SRR5831842	SRR5831843	SRR5831846	SRR5831848	SRR5831849	SRR5831851	SRR5831852	SRR5831854	SRR5831855	SRR5831857	SRR5831858	SRR5831860	SRR5831863	SRR5831864	SRR5831865	SRR5831866	SRR5831867	SRR5831868	SRR5831869	SRR5831870	SRR5831872	SRR5831873	SRR5831874	SRR5831875	SRR5831877	SRR5831878	SRR5831879	SRR5831880	SRR5831882	SRR5831883	SRR5831884	SRR5831887	SRR5831888	SRR5831890	SRR5831891	SRR5831893	SRR5831894	SRR5831895
376ce3401c55d2f03313d4a38b019a28	285.0	806.0	68.0	412.0	549.0	203.0	0.0	0.0	6795.0	258.0	0.0	794.0	5101.0	701.0	6218.0	1693.0	0.0	173.0	532.0	109.0	203.0	110.0	240.0	348.0	0.0	0.0	0.0	148.0	529.0	896.0	753.0	429.0	258.0	0.0	2818.0	1142.0	0.0	24871.0	0.0	1027.0	191.0	182.0	546.0	67.0	186.0	421.0	0.0	13508.0	3009.0	15269.0	147.0	0.0	2142.0	0.0	229.0	82.0	185.0	378.0	2683.0	2901.0	424.0	114.0	3522.0	117.0	540.0	629.0	267.0	2703.0	63.0	460.0	68.0	45.0
bf42731a7465f8573d04038250873594	65.0	61.0	86.0	190.0	414.0	142.0	20102.0	1617.0	133.0	234.0	1916.0	103.0	0.0	809.0	297.0	26938.0	114.0	273.0	275.0	699.0	125.0	173.0	54.0	2382.0	111.0	88.0	0.0	445.0	44.0	105.0	260.0	43.0	1018.0	1766.0	177.0	795.0	5462.0	1388.0	2157.0	656.0	1703.0	86.0	4123.0	259.0	197.0	43.0	0.0	50.0	15.0	738.0	1353.0	0.0	585.0	2153.0	1071.0	77.0	7824.0	1349.0	690.0	2947.0	226.0	1337.0	260.0	5740.0	28.0	789.0	1401.0	297.0	218.0	88.0	60.0	80.0
ca9be26438d1c84f96004144ca801b17	0.0	0.0	7604.0	89.0	139.0	0.0	1310.0	753.0	0.0	140.0	201.0	64.0	32.0	0.0	5400.0	26262.0	36.0	0.0	85.0	1013.0	3009.0	0.0	0.0	451.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	52.0	0.0	4246.0	0.0	503.0	0.0	241.0	0.0	0.0	158.0	76.0	208.0	997.0	706.0	31.0	50.0	0.0	0.0	4907.0	0.0	0.0	0.0	16239.0	418.0	0.0	3002.0	5540.0	141.0	0.0	1115.0	12311.0	88.0	7359.0	271.0	0.0	806.0	213.0	0.0	32.0	66.0	23.0
376e166755749862c3d6205f65748c6f	587.0	1275.0	0.0	701.0	514.0	0.0	58.0	208.0	3898.0	843.0	86.0	6577.0	2384.0	1173.0	1183.0	712.0	101.0	523.0	869.0	0.0	476.0	0.0	243.0	710.0	93.0	110.0	0.0	381.0	231.0	674.0	724.0	1089.0	8616.0	8463.0	1644.0	548.0	0.0	14835.0	0.0	226.0	403.0	0.0	177.0	3614.0	307.0	466.0	2823.0	7774.0	6611.0	582.0	330.0	103.0	316.0	93.0	71.0	201.0	58.0	2503.0	492.0	462.0	728.0	892.0	3303.0	303.0	574.0	3060.0	115.0	366.0	559.0	185.0	0.0	0.0
d4eb944c35a3de575931b364e14ab6b0	152.0	0.0	181.0	113.0	161.0	622.0	2506.0	694.0	0.0	7389.0	8494.0	0.0	0.0	423.0	957.0	1315.0	48.0	0.0	142.0	3406.0	6204.0	0.0	77.0	21988.0	93.0	0.0	0.0	0.0	154.0	130.0	80.0	244.0	238.0	237.0	0.0	506.0	0.0	85.0	0.0	0.0	969.0	0.0	0.0	74.0	249.0	0.0	0.0	25.0	0.0	533.0	3697.0	105.0	15515.0	1294.0	0.0	113.0	536.0	5602.0	160.0	0.0	162.0	513.0	0.0	254.0	98.0	1937.0	0.0	1135.0	6038.0	0.0	65.0	0.0
b46e3892ea06fd8f0cb9a50a97f7fce1	129.0	151.0	19.0	0.0	101.0	790.0	368.0	85.0	0.0	18026.0	10914.0	0.0	0.0	8574.0	714.0	15092.0	137.0	0.0	0.0	150.0	115.0	2522.0	110.0	491.0	129.0	0.0	2100.0	0.0	85.0	101.0	32.0	286.0	0.0	394.0	146.0	289.0	266.0	715.0	273.0	108.0	786.0	0.0	0.0	186.0	69.0	495.0	0.0	201.0	0.0	354.0	3349.0	42.0	1541.0	1827.0	110.0	77.0	648.0	2951.0	122.0	79.0	0.0	1527.0	199.0	359.0	0.0	0.0	234.0	0.0	15471.0	141.0	0.0	0.0
e61f86232f8aa10ad3244832b8ca1c6a	0.0	0.0	137.0	0.0	0.0	0.0	1308.0	515.0	0.0	65.0	60423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30023.0	99.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b8024cb46d9261e7965f28239106d845	82.0	87.0	479.0	50.0	0.0	194.0	3867.0	459.0	24455.0	128.0	74.0	101.0	14780.0	0.0	211.0	403.0	0.0	0.0	0.0	2275.0	91.0	0.0	146.0	67.0	35.0	0.0	2026.0	0.0	0.0	0.0	70.0	73.0	1865.0	73.0	57.0	225.0	793.0	542.0	356.0	158.0	757.0	83.0	17379.0	0.0	254.0	0.0	68.0	107.0	0.0	287.0	437.0	0.0	79.0	166.0	119.0	0.0	838.0	382.0	163.0	1087.0	0.0	7946.0	97.0	582.0	0.0	33.0	169.0	0.0	28.0	0.0	141.0	210.0
613c63f22310be4806e08792cb80cebc	381.0	43.0	0.0	54.0	0.0	0.0	44.0	0.0	0.0	21270.0	46813.0	34.0	0.0	530.0	158.0	1197.0	90.0	2247.0	0.0	92.0	0.0	0.0	95.0	145.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	799.0	68.0	213.0	0.0	132.0	0.0	0.0	24.0	0.0	145.0	0.0	87.0	71.0	585.0	17.0	0.0	168.0	0.0	414.0	1783.0	235.0	0.0	317.0	0.0	159.0	1031.0	400.0	206.0	0.0	53.0	1164.0	581.0	1649.0	178.0	0.0	0.0	96.0	224.0	383.0	0.0	0.0
a78d1ca4b996af4663b45b63f64d8eaa	0.0	0.0	0.0	0.0	57.0	709.0	11876.0	3279.0	0.0	0.0	0.0	0.0	0.0	330.0	275.0	0.0	0.0	170.0	72.0	92.0	972.0	0.0	0.0	30120.0	0.0	0.0	0.0	0.0	50.0	37.0	0.0	0.0	255.0	0.0	0.0	0.0	60.0	93.0	0.0	162.0	291.0	0.0	35.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	9407.0	154.0	2102.0	496.0	355.0	0.0	133.0	19788.0	608.0	0.0	87.0	632.0	0.0	321.0	0.0	0.0	385.0	116.0	0.0	0.0	0.0	0.0
