Feature ID	Taxon	Confidence
37c7b50a9a2e415a4fd6826c5cc83a66	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.9998578142319386
9f0c03042069dd632ad44827dc3ec0ec	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.9999938578913167
259ed70639ee8cbb4261f90cd29eef6a	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9997909973393017
81fcaeedbd9fe46db6eb4a81321ef454	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9999942899413438
80c7c5a21ea2002913006b9b940811bf	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.999994515307654
6cbef8ff7e427225cf86ea5fec4324bd	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9999943352276127
b40d0b7dcecb0a25acd4107f2e3ad9de	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__	0.9999975755544712
e761e913c5f8494de471bb48eb3e6fe3	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.9999981587122916
286c2fd5ad57e6f61fa5f4b8fd11c15a	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	0.9999957130908912
c1df65464b9eab5f6d8aebb950ff0f60	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.999995386828822
a36c2f04cb7ccdac6d883fa4724ebeb0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__	0.9998937224669734
01e980ddac385a5aa6f9092d5ab31318	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__	0.999962620403125
09f76f0a7f3a614eb49081e9086883fd	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9925131717386808
c1ed8daba031a55f7e7a7af1fda79d94	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.9999913931240828
0655c6a2d7b9c6ac09f5c34e92e322d3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9999963444094416
d2fed6238de8f38c4361c25ec33d2df2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7;s__	0.9993328245503293
b5a9290e904bf9a11b14c133cb99031c	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.9999890646543212
